Year,OilProductionInTWh,BarrelsDayEquiv
1903,0,0
1903,0,0
1903,0,0
1903,0.75595,444676.4675
1903,0.43031,253123.5276
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,13.42102,7894717.592
1903,0,0
1903,0,0
1903,119.91693,70539370.09
1903,133.33795,78434087.69
1903,13.42102,7894717.592
1903,13.4210205,7894717.886
1903,0,0
1903,0,0
1903,0.73269,430994.1146
1903,0,0
1903,0,0
1903,0,0
1903,166.63463,98020369.9
1903,0.03489,20523.52927
1903,3.89605,2291794.102
1903,9.25748,5445576.432
1903,0,0
1903,0,0
1903,0,0
1903,0.02326,13682.35285
1903,1.46538,861988.2293
1903,0,0
1903,0,0
1903,0,0
1903,13.153529,7737369.946
1903,0,0
1903,0.1163,68411.76423
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,156.6561,92150646.41
1903,156.6561,92150646.41
1903,0,0
1903,166.75095,98088793.43
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0.43031,253123.5276
1903,0,0
1903,7.82699,4604111.732
1903,0,0
1903,4.79156,2818564.686
1903,0,0
1903,0.43031,253123.5276
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,0,0
1903,119.91693,70539370.09
1903,0,0
1903,0,0
1903,155.78384,91637552.3
1903,125.255104,73679472.43
1903,0,0
1903,305.04327,179437216.4
1903,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,17.84042,10494364.63
1904,17.84042,10494364.63
1904,0,0
1904,0.01163,6841.176423
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0.86062,506247.0553
1904,0.45357,266805.8805
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,16.88676,9933388.166
1904,0,0
1904,0,0
1904,124.72012,73364775.96
1904,141.60689,83298170.01
1904,16.88676,9933388.166
1904,16.88676,9933388.166
1904,0,0
1904,0,0
1904,1.0467,615705.878
1904,0,0
1904,0,0
1904,0,0
1904,195.27933,114870193.3
1904,0.02326,13682.35285
1904,5.24513,3085370.567
1904,10.44374,6143376.428
1904,0,0
1904,0,0
1904,0,0
1904,0.04652,27364.70569
1904,2.15155,1265617.638
1904,0,0
1904,0,0
1904,0,0
1904,15.68887,9228746.994
1904,0,0
1904,0.22097,129982.352
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,182.63751,107433828.7
1904,182.63753,107433840.4
1904,0,0
1904,195.5003,115000175.7
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0.45357,266805.8805
1904,0,0
1904,9.58312,5637129.372
1904,0,0
1904,6.17553,3632664.68
1904,0,0
1904,0.45357,266805.8805
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,0,0
1904,124.72012,73364775.96
1904,0,0
1904,0,0
1904,181.55592,106797599.3
1904,131.57019,77394228.87
1904,0,0
1904,342.5384,201493175.1
1904,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,21.0503,12382529.33
1905,21.0503,12382529.33
1905,0,0
1905,0.01163,6841.176423
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0.98855,581499.9959
1905,0.5815,342058.8211
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,18.22421,10720123.45
1905,0,0
1905,0,0
1905,86.73654,51021493.76
1905,104.960754,61741619.57
1905,18.22421,10720123.45
1905,18.22421,10720123.45
1905,0,0
1905,0,0
1905,0.91877,540452.9374
1905,0,0
1905,0,0
1905,0,0
1905,222.22603,130721193.2
1905,0.05815,34205.88211
1905,6.40813,3769488.209
1905,12.59529,7408994.066
1905,0,0
1905,0,0
1905,0,0
1905,0.06978,41047.05854
1905,2.04688,1204047.05
1905,0,0
1905,0,0
1905,0,0
1905,19.003422,11178483.45
1905,0,0
