,year,GMSL,pop,popChangePercent,avgtemp
127,2007,43.483,6725948544.0,1.27,15.827
128,2008,52.2,6811597272.0,1.27,15.721
129,2009,58.017,6898305908.0,1.27,15.827
130,2010,65.75,6985603105.0,1.27,15.895
131,2011,67.3,7073125425.0,1.25,15.77
132,2012,76.083,7161697921.0,1.25,15.802
133,2013,67.725,7250593370.0,1.24,15.854
134,2014,30.078,7339013419.0,1.22,15.913
135,2015,40.897,7426597537.0,1.19,16.059
136,2016,43.278,7513474238.0,1.17,
137,2017,44.345,7599822404.0,1.15,
138,2018,48.611,7683789828.0,1.1,
139,2019,55.746,7764951032.0,1.06,
140,2020,56.42,7840952880.0,0.98,
141,2021,56.901,7909295151.0,0.87,
